   0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       26.5000000       10.0000000       2.07340068E-04   2.07340068E-04
 -0.250000000     -0.250000000      -15.0000000      0.500000000     -0.500000000     -0.500000000     -0.500000000     -0.500000000     -0.500000000       24.7500000       15.0000000       2.09879130E-04   2.09879130E-04
  0.250000000      0.250000000       15.0000000     -0.500000000      0.500000000      0.500000000      0.500000000      0.500000000      0.500000000       28.2500000       5.00000000       6.03785738E-02   6.03785738E-02
  0.375000000     -0.125000000       7.50000000      0.250000000      0.750000000      0.250000000      0.250000000      0.250000000     -0.250000000       25.6250000       2.50000000       2.00119059E-04   2.00119059E-04
 -0.125000000      0.375000000      -22.5000000     -0.750000000     -0.250000000     -0.750000000     -0.750000000     -0.750000000      0.750000000       29.1250000       12.5000000      0.967236459      0.967236459    
  0.125000000     -0.375000000       22.5000000     -0.250000000      0.250000000      0.750000000      0.750000000      0.750000000     -0.750000000       23.8750000       17.5000000       2.06321172E-04   2.06321172E-04
 -0.375000000      0.125000000      -7.50000000      0.750000000     -0.750000000     -0.250000000     -0.250000000     -0.250000000      0.250000000       27.3750000       7.50000000       4.75523388E-03   4.75523388E-03
  0.437500000     -0.437500000       11.2500000     -0.875000000     -0.375000000     -0.625000000      0.625000000     -0.625000000     -0.625000000       27.8125000       11.2500000       4.24946845E-02   4.24946845E-02
  -6.25000000E-02   6.25000000E-02  -18.7500000      0.125000000      0.625000000      0.375000000     -0.375000000      0.375000000      0.375000000       24.3125000       1.25000000       2.06704673E-04   2.06704673E-04
  0.187500000     -0.187500000       26.2500000      0.625000000     -0.875000000     -0.125000000      0.125000000     -0.125000000     -0.125000000       29.5625000       6.25000000      0.700240910      0.700240910    
 -0.312500000      0.312500000      -3.75000000     -0.375000000      0.125000000      0.875000000     -0.875000000      0.875000000      0.875000000       26.0625000       16.2500000       8.22548580E-04   8.22548580E-04
 -0.437500000      -6.25000000E-02  -26.2500000      0.375000000      0.375000000      0.125000000     -0.125000000      0.125000000     -0.375000000       28.6875000       13.7500000       5.79511113E-02   5.79511113E-02
   6.25000000E-02  0.437500000       3.75000000     -0.625000000     -0.625000000     -0.875000000      0.875000000     -0.875000000      0.625000000       25.1875000       3.75000000       2.80907232E-04   2.80907232E-04
 -0.187500000     -0.312500000      -11.2500000     -0.125000000      0.875000000      0.625000000     -0.625000000      0.625000000     -0.875000000       26.9375000       8.75000000       7.13953609E-03   7.13953609E-03
  0.312500000      0.187500000       18.7500000      0.875000000     -0.125000000     -0.375000000      0.375000000     -0.375000000      0.125000000       23.4375000       18.7500000       2.07308636E-04   2.07308636E-04
  0.218750000       9.37500000E-02  -20.6250000      0.187500000      0.812500000      0.937500000      0.937500000      -6.25000000E-02 -0.312500000       29.3437500       19.3750000      0.881268620      0.881268620    
 -0.281250000     -0.406250000       9.37500000     -0.812500000     -0.187500000      -6.25000000E-02  -6.25000000E-02  0.937500000      0.687500000       25.8437500       9.37500000       4.33907670E-04   4.33907670E-04
  0.468750000      0.343750000      -5.62500000     -0.312500000      0.312500000      0.437500000      0.437500000     -0.562500000     -0.812500000       27.5937500       4.37500000       2.40644868E-02   2.40644868E-02
  -3.12500000E-02 -0.156250000       24.3750000      0.687500000     -0.687500000     -0.562500000     -0.562500000      0.437500000      0.187500000       24.0937500       14.3750000       2.06525918E-04   2.06525918E-04
 -0.156250000      0.468750000       1.87500000     -0.562500000     -0.937500000     -0.312500000     -0.312500000      0.687500000     -0.562500000       26.7187500       16.8750000       1.89861143E-03   1.89861143E-03
  0.343750000      -3.12500000E-02  -28.1250000      0.437500000       6.25000000E-02  0.687500000      0.687500000     -0.312500000      0.437500000       23.2187500       6.87500000       2.07197358E-04   2.07197358E-04
 -0.406250000      0.218750000       16.8750000      0.937500000     -0.437500000     -0.812500000     -0.812500000      0.187500000      -6.25000000E-02   28.4687500       1.87500000      0.170940027      0.170940027    
   9.37500000E-02 -0.281250000      -13.1250000      -6.25000000E-02  0.562500000      0.187500000      0.187500000     -0.812500000      0.937500000       24.9687500       11.8750000       2.21179565E-04   2.21179565E-04
 -0.218750000       3.12500000E-02   5.62500000       6.25000000E-02  0.437500000      0.562500000     -0.687500000     -0.437500000     -0.187500000       25.4062500       8.12500000       2.24708492E-04   2.24708492E-04
